zone_id,impact_mean,impact_max,impact_std,impact_count,priority,rank
Z-11-16,8.920429841897233,84.05316162109375,15.667869712568647,68310,VERY LOW,152
Z-13-14,8.802018372127067,76.85171508789062,18.17240001305405,68310,VERY LOW,153
Z-05-11,8.719354299750036,77.9901351928711,16.767059195348907,57608,VERY LOW,154
Z-08-15,8.614844093104963,76.56507110595703,15.559901327542784,68310,VERY LOW,155
Z-06-05,8.359043565882834,60.52287673950195,10.85335505866578,26919,VERY LOW,156
Z-17-12,8.323363160591422,83.70027160644531,18.246981510364787,68310,VERY LOW,157
Z-08-13,8.300671570780267,71.41068267822266,16.475486961241696,68310,VERY LOW,158
Z-14-13,7.857331060136392,76.32393646240234,17.623826268869554,67746,VERY LOW,159
Z-07-11,7.840981335666375,83.35411071777344,14.495242164753837,68580,VERY LOW,160
Z-18-05,7.777317475270843,70.01658630371094,17.283341616332827,53075,VERY LOW,161
Z-17-08,7.66392502927829,77.13806915283203,13.318522312870893,68310,VERY LOW,162
Z-16-10,7.610898006213263,78.26337432861328,13.637462160639314,68563,VERY LOW,163
Z-15-12,7.5290217629046365,77.9685287475586,15.484274329959241,68580,VERY LOW,164
Z-07-10,7.256240103001423,70.45677947998047,11.267516700798813,68834,VERY LOW,165
Z-11-09,6.943556017823024,71.00800323486328,15.396389527750388,68563,VERY LOW,166
Z-16-13,6.904096303501945,84.8868179321289,16.788039122575576,64250,VERY LOW,167
Z-08-12,6.868418331869419,74.33504486083984,15.993268214838768,68310,VERY LOW,168
Z-14-06,6.830541831357049,71.18305206298828,15.592992715958129,68310,VERY LOW,169
Z-11-03,6.828659565537682,61.15225601196289,15.020781279948427,58371,VERY LOW,170
Z-09-05,6.725099749155735,79.41814422607422,19.162612139772943,61592,VERY LOW,171
Z-10-13,6.663632246376811,81.46696472167969,14.687825700944076,68310,VERY LOW,172
Z-09-07,6.5991114391951005,68.04292297363281,15.404242334366653,68580,VERY LOW,173
Z-16-11,6.530355182257356,79.76017761230469,17.690166380794093,68310,VERY LOW,174
Z-07-05,6.485181248783021,73.48548889160156,12.74391363035881,30814,VERY LOW,175
Z-16-09,6.4546662376208745,79.76690673828125,11.972527861774045,68563,VERY LOW,176
Z-09-18,6.394956676038162,72.17607116699219,13.270010326154848,65091,VERY LOW,177
Z-08-07,6.31329280120041,65.37358856201172,15.398929512706466,68310,VERY LOW,178
Z-07-07,6.309136227763196,75.72396850585938,14.570495309865873,68580,VERY LOW,179
Z-13-18,6.211013988314559,51.358890533447266,9.375198247346106,9499,VERY LOW,180
Z-11-05,6.166755416483677,69.26829528808594,13.598525934278742,68310,VERY LOW,181
Z-13-01,5.911393235803853,65.12397003173828,13.136094158049035,49045,VERY LOW,182
Z-17-04,5.560519140682184,86.2627182006836,15.926950503177466,68310,VERY LOW,183
Z-11-14,5.55786899795052,90.6750259399414,14.629466176137804,68310,VERY LOW,184
Z-12-01,5.5297148736325425,53.28123474121094,11.040727644995078,38301,VERY LOW,185
Z-12-13,5.514446631671041,83.56040954589844,17.046045670224835,68580,VERY LOW,186
Z-16-12,5.428064156053287,78.84053039550781,17.411369801583223,68310,VERY LOW,187
Z-11-18,4.936512150933966,72.80451965332031,12.394736208091464,16007,VERY LOW,188
Z-08-05,4.8580312409890425,72.29139709472656,14.142419439865764,55488,VERY LOW,189
Z-13-02,4.5401945176401695,75.07892608642578,11.424833565723691,68310,VERY LOW,190
Z-16-04,4.433802700922266,68.71049499511719,11.172115241313824,68310,VERY LOW,191
Z-15-07,4.391411945902595,72.75936889648438,13.264659944693477,68580,VERY LOW,192
Z-06-08,3.836398404333187,81.41309356689453,11.750814170852943,68310,VERY LOW,193
Z-13-03,3.783573735543844,64.20523834228516,9.446027915447784,68310,VERY LOW,194
Z-05-08,3.6359889657444007,74.09111022949219,12.507354243318282,68310,VERY LOW,195
Z-14-18,3.6081590513910355,47.07713317871094,7.719507174066523,3235,VERY LOW,196
