ward_number_2017,ward_number_2022,raw_weight,weight
026S,113,0.06257093264771114,0.06256968332426271
026S,114,0.515131549483521,0.51512126410185
027E,212,0.0293102535510044,0.02931024637621271
027E,213,0.2462902915777093,0.24629023128885733
027E,214,0.3778472983004822,0.3778472058080835
027E,224,0.11214325968770984,0.11214323223641105
027E,225,0.210449655781944,0.21044960426644144
027E,227,0.023817554654289266,0.023817548824043105
027E,235,0.00014193123469394877,0.00014193119995091792
027N,23,0.22245887268589357,0.22245887268589123
027N,24,0.019904646967717512,0.019904646967717304
027N,25,0.757635512315379,0.7576355123153711
027N,26,9.680310203845123e-07,9.68031020384502e-07
027S,108,0.2668915637554667,0.2668915637554648
027S,114,0.7331084362445405,0.7331084362445353
028E,217,0.12942653232047874,0.12942653232047063
028E,218,0.29261348482306715,0.29261348482304883
028E,219,0.5779599828565166,0.5779599828564804
028N,22,0.082256472888045,0.08225646385799552
028N,23,0.8201251846483956,0.820125094615712
028N,26,0.03212570735670623,0.0321257038299719
028N,27,0.0652824791118752,0.06528247194521712
028N,28,0.00021026577418615654,0.00021026575110334888
028S,105,0.02270638397663028,0.022707174255345772
028S,106,0.24413155041229653,0.24414004722835803
028S,108,7.81488974979108e-07,7.815161741185198e-07
028S,113,0.020199928306146867,0.02020063134954696
028S,114,0.19653955291076902,0.19654639332294463
028S,115,0.4755280540427234,0.47554460444106583
028S,122,0.04085894582150786,0.04086036788656469
029E,216,0.09057807474476944,0.09057807474477163
029E,217,0.3509754743555299,0.3509754743555384
029E,219,0.368355797181988,0.36835579718199696
029E,220,0.1585349265564306,0.15853492655643442
029E,222,0.031555727161257895,0.03155572716125866
029N,30,0.0346295426626605,0.03617951121626857
029N,31,0.9048414979619874,0.9453409028054977
029N,32,0.017687900955770608,0.018479585978233803
029S,104,0.0008048058664253432,0.0008048020068566282
029S,105,0.26727152088620953,0.267270239145055
029S,115,0.11820168513055546,0.11820111827642948
029S,116,0.6137267837916244,0.6137238405716591
030E,216,0.4448133712445216,0.44481337124453246
030E,217,0.04433118675225502,0.0443311867522561
030E,219,0.06745793447426256,0.06745793447426421
030E,220,0.007921429263534103,0.007921429263534297
030E,222,0.2622554938450278,0.26225549384503416
030E,223,0.17322058442037455,0.17322058442037877
030N,29,0.033842904796102746,0.03384290479610313
030N,30,0.781194287585681,0.7811942875856899
030N,31,0.18496280761820497,0.18496280761820705
030S,99,0.08512423727307511,0.08513872973801774
030S,104,0.2775854862521206,0.27763274538837796
030S,117,0.610830255691326,0.610934249998354
030S,118,0.026289799017341714,0.02629427487525026
031E,215,0.2691822599033349,0.26918312299877034
031E,216,0.02802322158765894,0.028023311440217007
031E,223,0.21841444092288917,0.218415141238382
031E,224,0.48437687123563766,0.4843784243226307
031N,3,0.0078293919014717,0.007829391770812632
031N,4,0.007471746621409665,0.007471746496719081
031N,29,0.9573671940676919,0.9573671780908822
031N,30,0.0005739211121486468,0.0005739211025708919
031N,31,0.017066277516901852,0.017066277232095074
031N,32,0.00528308879695861,0.005283088708792957
031N,54,0.004408396671695825,0.004408396598127277
031S,99,0.27672458464040184,0.27673392731105784
031S,104,0.03800811704044902,0.038009400256106295
031S,117,0.20771379087967026,0.20772080363403544
031S,118,0.472349586922931,0.4723655342108485
031S,119,0.005170160034966326,0.005170334587951953
032E,220,0.22399303895479727,0.22399303895478445
032E,221,0.0008267060477358926,0.0008267060477358452
032E,237,0.38344828970964495,0.38344828970962297
032E,238,0.3917319652878793,0.39173196528785686
032N,22,0.00214515768879042,0.0021451583190407637
032N,23,0.0014954078175181476,0.001495408256871066
032N,27,0.2894681811145738,0.28946826616073223
032N,28,0.6422414023417988,0.6422415910332254
032N,29,0.0646495572359998,0.06464957623013057
032S,99,0.18917135151173137,0.18917135151172726
032S,117,0.11571047579975892,0.11571047579975641
032S,118,0.6951181726885314,0.6951181726885163
033E,237,1.0000000000000002,1.0
033N,27,0.9296364640558822,0.9296451341274514
033N,29,0.03817283896143205,0.03817319497290384
033N,32,0.0321813707664221,0.03218167089964463
033S,117,0.16917430236704567,0.16917430236703587
033S,118,0.04029628231731341,0.04029628231731107
033S,119,0.702374329533442,0.7023743295334013
033S,138,0.08815508578225692,0.08815508578225181
034E,218,0.6396826037818553,0.6817903030582929
034E,219,0.14746030049762093,0.1571670112192469
034E,220,0.01484128577877262,0.015818227147435106
034E,237,0.13625532568793297,0.14522445857502508
034N,23,0.009131925697847565,0.00913226856161768
034N,25,0.023089478366658096,0.02309034527533264
034N,26,0.7704927292364852,0.7705216578601657
034N,27,0.18184945916734865,0.18185628681720328
034N,28,0.0014709104179186896,0.001470965644155529
034N,29,0.000420815872065188,0.0004208316718560749
034N,32,0.005358384292706494,0.005358585476542314
034N,33,0.008148752743190327,0.008149058693126814
034S,111,0.03544447130597464,0.035444507552417535
034S,113,0.012601936937109134,0.012601949824179268
034S,121,0.05222769581602894,0.052227749225435945
034S,123,0.120600328678815,0.12060045200786366
034S,124,0.6316210534088358,0.631621699321036
034S,125,0.05595181931503061,0.05595187653282366
034S,128,0.02022758716226923,0.020227607847528625
034S,129,0.07132408475084177,0.07132415768871529
035E,218,0.05169138316061699,0.05169138316061409
