ward_number,ward_name,worldcover_canopy_fraction,worldcover_built_fraction,cropland_fraction,worldcover_bare_or_other_fraction
161,DEOLI,0.32814741979063167,0.36537530736774565,0.07713594217372252,0.2293413306678988
162,TIGRI,0.10963569669099427,0.8821268693709157,0.0020419135647120733,0.006195520373378482
163,SANGAM VIHAR-A,0.08255704699655306,0.8053618388972992,0.05889867394758284,0.05318244015856605
164,DAKSHIN PURI,0.6246038092516099,0.3684364381251793,0.0012737611288498943,0.005685991494359605
165,MADANGIR,0.11169386154838194,0.8661528011090152,0.0,0.02215333734260308
166,PUSHP VIHAR,0.3693859920730703,0.5898089296206629,0.011853823967544612,0.02895125433872225
167,KHANPUR,0.36165104489846467,0.6054052472161662,0.021731587419581005,0.011212120465788851
168,SANGAM VIHAR-C,0.15268940958723948,0.5585320227080443,0.04124464905175692,0.24753391865295882
169,SANGAM VIHAR-B,0.36111993886950833,0.23056559057990883,0.09670928255666056,0.3116051879939233
170,TUGHLAKABAD EXTENSION,0.3948580135175137,0.5287607570496837,0.023440995630313346,0.05294023380248869
171,CHITARANJAN PARK,0.3085244890157923,0.686480276401887,0.000781377476564422,0.004213857105758133
172,CHIRAG DELHI,0.5437595501354656,0.4317280850383775,0.007840573601579788,0.016671791224576175
173,GREATER KAILASH,0.38168165536732973,0.6055704018411276,0.0069380331565743894,0.0058099096349703006
174,SRI NIWAS PURI,0.3615181211075253,0.6247274598291319,0.0068595439976846,0.0068948750656561714
175,KALKAJI,0.3304591674192225,0.6209874539831105,0.01947992403703121,0.02907345456063595
176,GOVIND PURI,0.06001675516797082,0.937063228544064,0.0010512058636675313,0.0018688104242978335
177,HARKESH NAGAR,0.10626660981572024,0.8756891492444971,0.002148406518868288,0.015895834420914474
178,TUGHLAKABAD,0.305075489238038,0.5093767568735574,0.0840396729470057,0.10150808094139917
179,PUL PEHLADPUR,0.31494087531674114,0.5744687778747078,0.020505903084189002,0.09008444372436201
180,BADARPUR,0.3361915784804352,0.5851928710003905,0.015276655356054837,0.06333889516312012
181,MOLARBAND,0.081877822633406,0.8982484025020707,0.0054446060052667335,0.014429168859255326
182,MEETHAPUR,0.03552252410166518,0.8645240515838241,0.023855765619131077,0.07609765869537995
183,HARI NAGAR EXTENSION,0.039446959947575806,0.8660031561120797,0.01409295825799983,0.08045692568234397
184,JAITPUR,0.1121022357916377,0.42409675229010696,0.17605834205538054,0.28774266986287506
185,MADANPUR KHADAR EAST,0.2942745295866624,0.27126123641088706,0.2572584098814366,0.1772058241210128
186,MADANPUR KHADAR WEST,0.19978431358728266,0.522328413641172,0.12126318163730712,0.15662409113423742
187,SARITA VIHAR,0.2604401240266753,0.6823515270812966,0.03524245221857473,0.021965896673455252
188,ABUL FAZAL ENCLAVE,0.19472165028209662,0.5785450371390835,0.027010306107326316,0.19972300647149352
189,ZAKIR NAGAR,0.36015802075729114,0.39086496004112115,0.090502572105066,0.15847444709652178
190,NEW ASHOK NAGAR,0.19828549885363825,0.735079763099867,0.0026549341773594664,0.06397980386913504
191,MAYUR VIHAR PHASE-I,0.1948955885777185,0.7732795664782707,0.0038797072458246016,0.0279451376981859
192,TRILOKPURI,0.06599811143190339,0.9110014280001373,0.0014248072918204887,0.021575653276138827
193,KONDLI,0.21529833254956254,0.7044244792659617,0.020746747849863918,0.05953044033461156
194,GHAROLI,0.11973721911317457,0.7770158546726617,0.02627025015946494,0.07697667605469771
195,KALYANPURI,0.12848270603855658,0.7273114495139974,0.0024070436641949727,0.1417988007832515
196,MAYUR VIHAR PHASE-II,0.230537749173296,0.661854566872609,0.02866362014616589,0.07894406380792908
197,PATPAR GANJ,0.19304110097862323,0.22178444726907076,0.38684860545436917,0.19832584629793631
198,VINOD NAGAR,0.07042299554927552,0.9123289743267192,0.0015505896991437936,0.015697440424861583
199,MANDAWALI,0.05709078382709184,0.8914976396934724,0.0,0.05141157647943565
200,PANDAV NAGAR,0.3650127207022043,0.406184199891857,0.1325406222033373,0.09626245720260175
201,LALITA PARK,0.45376723676608416,0.23843885325382352,0.17311533061688733,0.13467857936320488
202,SHAKARPUR,0.09840879069873237,0.8995621858598654,0.0,0.0020290234414017693
203,LAXMI NAGAR,0.013923260467531258,0.9811385111418365,0.001586829316671626,0.003351399073960638
204,PREET VIHAR,0.2030401439406949,0.785507869025558,0.005995549827187096,0.005456437206560646
205,I.P. EXTENSION,0.09836143271010256,0.8122455728736749,0.009823936991236761,0.07956905742498598
206,ANAND VIHAR,0.16821483356488973,0.8011442056981904,0.007823306625049958,0.022817654111870273
207,VISHWAS NAGAR,0.06833116058643413,0.8296654472871478,0.032040313101946785,0.06996307902447121
208,ANARKALI,0.0014497009398908793,0.9966810386275013,0.0,0.0018692604326076628
209,JAGAT PURI,0.014075713826176818,0.9835945128508697,0.0,0.0023297733229534043
210,GEETA COLONY,0.09997941951090021,0.8631546608842448,0.02776129018787899,0.009104629416975624
211,KRISHNA NAGAR,0.10395046784424947,0.7787189649449984,0.04878669476929504,0.0685438724414569
